Date	Well	Jurkat	Target	Stimulus	HLA match	CFSE stained	Count	Cells | %	Single Cells | %	CFSE-A- 7AAD-A+ | %	CFSE-A+ 7AAD-A+ | %	CFSE-A+ 7AAD-A- | %	CFSE-A- 7AAD-A- | %	CFSE-A- 7AAD-A- | #	Jurkats | CD69- CD62L+ | %	Jurkats | CD69+ CD62L+ | %	Jurkats | CD69+ CD62L- | %	Jurkats | CD69- CD62L- | %
2021-01-14	B02		Karpas-299	10	N	Y	10000	28.9	97.1	0	65.8	34	0.21	6	0	0	50	50
2021-01-14	B03		Karpas-299	1	N	Y	10000	25.9	97.3	0	67	32.5	0.48	12	50	0	0	50
2021-01-14	B04		Karpas-299	0.1	N	Y	10000	13.6	92.6	0	89.9	9.54	0.56	7	85.7	0	0	14.3
2021-01-14	B05		Karpas-299	0	N	Y	10000	10.6	87.7	0	91.6	8.3	0.11	1	0	0	0	100
2021-01-14	B06		MDA-MB-463	10	Y	Y	7141	3.15	93.3	0	77.1	14.8	8.1	17	23.5	0	11.8	64.7
2021-01-14	B07		MDA-MB-463	1	Y	Y	5583	2.1	95.7	0	77.7	8.93	13.4	15	6.67	6.67	0	86.7
2021-01-14	B08		MDA-MB-463	0.1	Y	Y	6837	2.56	94.3	0.61	62.4	15.8	21.2	35	11.4	0	8.57	80
2021-01-14	B09		MDA-MB-463	0	Y	Y	5064	3.95	97.5	0	65.6	16.9	17.4	34	2.94	0	5.88	91.2
2021-01-14	B10		Karpas-299		N	N	10000	67.2	96.4	0.48	0.046	0.046	99.4	6437	0.76	0	0.016	99.2
2021-01-14	C02	LC13	MDA-MB-463	10	Y	Y	10000	57.5	95	0.18	2.12	19.2	78.5	4285	4.57	1.89	42.3	51.2
2021-01-14	C03	LC13	MDA-MB-463	1	Y	Y	10000	67.6	96.4	0.077	1.35	11.4	87.2	5682	34.6	0.07	0.37	65
2021-01-14	C04	LC13	MDA-MB-463	0.1	Y	Y	10000	46.3	87.1	0.05	2.01	10.3	87.6	3535	48.8	0.25	0.057	50.9
2021-01-14	C05	LC13	MDA-MB-463	0	Y	Y	10000	37	81.6	0.066	1.66	8.34	89.9	2716	30	0.15	0.11	69.7
2021-01-14	C06	LC13	Karpas-299	10	N	Y	10000	50.5	76.8	0	19.5	4.69	75.8	2945	7.54	0	0.17	92.3
2021-01-14	C07	LC13	Karpas-299	1	N	Y	10000	47.9	84	0.1	14.6	2.74	82.6	3320	7.05	0	0.12	92.8
2021-01-14	C08	LC13	Karpas-299	0.1	N	Y	10000	62.2	84.4	0.17	17	4.08	78.7	4128	13.3	0.048	0.27	86.4
2021-01-14	C09	LC13	Karpas-299	0	N	Y	10000	62.1	84.7	0.095	6.97	5.11	87.8	4621	7.75	0	0.065	92.2
2021-01-14	C10		Karpas-299		N	N	10000	62.8	81.3	0.53	0.039	0.078	99.4	5075	1.1	0	0	98.9
2021-01-14	D02	LC13		Negative			10000	78.7	81.7	0.3	0.062	0.093	99.5	6401	5.97	0	0.11	93.9
2021-01-14	D03	LC13		Negative			10000	78.4	80.6	0.16	0.016	0.13	99.7	6297	11.6	0.032	0.16	88.2
2021-01-14	D04	LC13		Negative			10000	78.4	76.2	0.55	0.084	0.084	99.3	5937	16.8	0.067	0.17	83
2021-01-14	D05	LC13		Negative			10000	82.2	79.4	0.46	0.046	0.15	99.3	6484	21.6	0.093	0.14	78.2
2021-01-14	D06	LC13		aCD3			10000	48.9	73.1	0.48	0.084	0.056	99.4	3556	4.64	1.01	47.5	46.8
2021-01-14	D07	LC13		aCD3			10000	65	74.9	0.96	0.062	0.1	98.9	4817	4.17	0.77	39.3	55.8
2021-01-14	D08	LC13		aCD3			10000	44.4	71.1	1.02	0.095	0.16	98.7	3112	4.21	0.9	33.6	61.2
2021-01-14	D09	LC13		aCD3			10000	54.2	74.6	0.82	0.17	0.12	98.9	3999	3.68	0.88	37.8	57.7
2021-01-14	D10		Karpas-299		N	N	10000	55.9	73.3	0.46	0.049	0.17	99.3	4069	0.76	0.025	0.025	99.2
2021-01-14	E02	LC13	Karpas-299	10	N	Y	10000	53.2	78.4	0.072	11.5	9.34	79.1	3295	6.65	0	0.061	93.3
2021-01-14	E03	LC13	Karpas-299	1	N	Y	10000	65.8	81.4	0.093	6.57	2.59	90.7	4864	6.97	0	0.16	92.9
2021-01-14	E04	LC13	Karpas-299	0.1	N	Y	10000	54.6	80.5	0.23	16.2	3.78	79.8	3505	6.62	0.029	0.26	93.1
2021-01-14	E05	LC13	Karpas-299	0	N	Y	10000	58.2	76	0.16	13.3	2.96	83.6	3701	15	0	0.19	84.8
2021-01-14	E06	LC13	MDA-MB-463	10	Y	Y	10000	62.7	75.8	0.29	1.93	25.8	71.9	3421	4.62	6.99	74.7	13.7
2021-01-14	E07	LC13	MDA-MB-463	1	Y	Y	10000	50	81.1	0.2	1.53	10.4	87.9	3568	29.7	0.11	0.34	69.8
2021-01-14	E08	LC13	MDA-MB-463	0.1	Y	Y	10000	74.7	74.3	0.18	1.24	8.97	89.6	4975	46	0.48	0.42	53.1
2021-01-14	E09	LC13	MDA-MB-463	0	Y	Y	10000	62.9	62.9	0.1	1.29	8.24	90.4	3576	29.2	0.14	0.28	70.4
2021-01-14	E10		MDA-MB-463		Y	N	10000	1.46	89.7	2.29	4.58	1.53	91.6	120	1.67	0	0	98.3
